"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2023 02:00 - 04/01/2023 02:15","CTA|ES","21448.00","21252.00"
"04/01/2023 02:15 - 04/01/2023 02:30","CTA|ES","21212.00","21034.00"
"04/01/2023 02:30 - 04/01/2023 02:45","CTA|ES","20928.00","20851.00"
"04/01/2023 02:45 - 04/01/2023 03:00","CTA|ES","20904.00","20700.00"
"04/01/2023 03:00 - 04/01/2023 03:15","CTA|ES","20768.00","20523.00"
"04/01/2023 03:15 - 04/01/2023 03:30","CTA|ES","20556.00","20436.00"
"04/01/2023 03:30 - 04/01/2023 03:45","CTA|ES","20604.00","20378.00"
"04/01/2023 03:45 - 04/01/2023 04:00","CTA|ES","20472.00","20347.00"
"04/01/2023 04:00 - 04/01/2023 04:15","CTA|ES","20456.00","20290.00"
"04/01/2023 04:15 - 04/01/2023 04:30","CTA|ES","20504.00","20303.00"
"04/01/2023 04:30 - 04/01/2023 04:45","CTA|ES","20576.00","20339.00"
"04/01/2023 04:45 - 04/01/2023 05:00","CTA|ES","20644.00","20425.00"
"04/01/2023 05:00 - 04/01/2023 05:15","CTA|ES","20764.00","20361.00"
"04/01/2023 05:15 - 04/01/2023 05:30","CTA|ES","21000.00","20638.00"
"04/01/2023 05:30 - 04/01/2023 05:45","CTA|ES","21156.00","21050.00"
"04/01/2023 05:45 - 04/01/2023 06:00","CTA|ES","21512.00","21585.00"
"04/01/2023 06:00 - 04/01/2023 06:15","CTA|ES","22540.00","22116.00"
"04/01/2023 06:15 - 04/01/2023 06:30","CTA|ES","23116.00","22837.00"
"04/01/2023 06:30 - 04/01/2023 06:45","CTA|ES","23704.00","23620.00"
